GameWeek,Date,Points
1,2023-08-06,3
2,2023-08-12,3
3,2023-08-19,3
4,2023-08-26,3
5,2023-09-02,0
6,2023-09-15,3
7,2023-09-20,3
8,2023-09-23,3
9,2023-10-01,3
10,2023-10-04,3
11,2023-10-07,3
12,2023-10-21,3
13,2023-10-24,3
14,2023-10-28,3
15,2023-11-03,0
16,2023-11-11,0
17,2023-11-25,3
18,2023-11-29,1
19,2023-12-02,3
20,2023-12-09,3
21,2023-12-13,3
22,2023-12-18,3
23,2023-12-23,3
24,2023-12-26,1
25,2023-12-29,3
26,2024-01-01,3
27,2024-01-13,0
28,2024-01-22,1
29,2024-01-30,3
30,2024-02-03,3
31,2024-02-10,3
